,id,title,singer,Genre,Lyric
320,100927,Bà Xã Ơi Bà Xã,Hải Nguyên,,
321,100929,Bà Ơi,Đào Phi Dương,,
322,100930,Bài 20,Johnny Dũng & Lâm Nhật Tiến,,
323,100932,Bài Ca Cho Anh,Sơn Tuyền,,
324,100933,Bài Ca Cho Em,Thái Hiền,,
325,100934,Bài Ca Cho Em,Thái Hiền,,
326,100935,Bài Ca Chúng Mình,Tuấn Vũ,,
327,100936,Bài Ca Của Chúng Mình,Thúy Hằng,,
328,100937,Bài Ca Của Đêm,Lâm Nhật Tiến,,
329,100941,Bài Ca Dao Xót Xa,Vũ Tuấn,,
330,100942,Bài Ca Dao Đầu Đời,Mạnh Quỳnh,,
331,100943,Bài Ca Dao Đầu Đời,Tâm Đoan,,
332,100945,Bài Ca Hai Chúng Mình,Khánh Hoàng,,
333,100946,Bài Ca Hy Vọng,Thu Hương,,
334,100947,Bài Ca Hạnh Ngộ,Lệ Uyên Phương & U Mi,,
335,100949,Bài Ca Hạnh Phúc,Thế Phong,,
336,100951,Bài Ca Hồ Chí Minh,Hồ Quỳnh Hương,,
337,100952,Bài Ca Hồ Chí Minh,Quang Hào,,
338,100957,Bài Ca Kỷ Niệm,Phi Nhung,,
339,100960,Bài Ca Kỷ Niệm,Tuấn Vũ,,
340,100961,Bài Ca Lửa Cháy,Tốp Ca,,
341,100962,Bài Ca May Áo,Trung Hậu,,
342,100963,Bài Ca Miyahee,Đan Trường,,
343,100965,Bài Ca Người Giáo Viên Nhân Dân,Lan Anh,,
344,100967,Buông,Kimmese & Vũ Thảo My,,
345,100968,Buồn (Remix),Vũ Duy Khánh,,
346,100969,Buồn Của Anh (Remix),Khang Lê,,
347,100975,Bài 20,Khải Tuấn,,
348,100978,Bài Ca Thông Nhất,Bích Hồng & Thu Hiền,,
349,100979,Bài Ca Thông Nhất,Phạm Phương Thảo,,
350,100980,Bài Ca Thông Nhất,Trọng Tấn,,
351,100985,Bài Ca Tuổi Trẻ,Elvis Phương,,
352,100986,Bài Ca Tân Hôn,Lê Toàn,,
353,100987,Bài Ca Tình Nhớ,Thu Thảo,,
354,100990,Bài Ca Tết Cho Em (Remix),Lương Gia Huy,,
355,100991,Bài Ca Tết Cho Em (Remix),Quang Hà,,
356,100993,Bài Ca Xuân,Khánh Hoàng,,
357,100996,Bài Ca Đường 9 Chiến Thắng,Tốp Ca,,
358,100999,Bài Cuối Cho Cuộc Tình,Đàm Vĩnh Hưng,,
359,101001,Bài Cuối Cho Người Tình,Mạnh Quỳnh,,
360,101003,Bài Hát Cho Người Kỹ Nữ,Khang Vệt,,
361,101008,Bài Hát Không Trọn Vẹn,Châu Ngọc Tiên & Lâm Chấn Khang,,
362,101011,Bài Hát Tặng Em,Rainbow Boys,,
363,101013,Bài Hát Tặng Mẹ (Mama Angel),C Walk & Lil Shady,,
364,101014,Bài Hát Đôi Cho Em,Huy Mc & Thu Phương,,
365,101015,Bài Hát Đôi Cho Em,Quang Minh & Thu Phương,,
366,101017,Bài Học,Phạm Trưởng,,
367,101020,Bài Học Tình Yêu,Phúc Pin,,
368,101025,Bài Không Tên Số 1,Duy Quang,,
369,101028,Bài Không Tên Số 2,Hạ Vy & Nini,,
370,101029,Bài Không Tên Số 2,Ngọc Bích,,
371,101032,Bài Không Tên Số 37,Khánh Hà,,
372,101033,Bài Không Tên Số 4,Ngọc Lan,,
373,101035,Bài Không Tên Số 5,Elvis Phương,,
374,101036,Bài Không Tên Số 5,Ngọc Bích,,
375,101037,Bài Không Tên Số 6,Duy Quang,,
376,101039,Bài Không Tên Số 7,Khánh Hà,,
377,101040,Bài Không Tên Số 8,Nguyễn Khang,,
378,101043,Bài Không Tên Số 9,Châu Đình An,,
379,101044,Bài Không Tên Số 9,Khánh Nguyên,,
380,101046,Bài Không Tên Số Bảy,Lệ Quyên,,
381,101047,Bài Không Tên Số Bốn,Lệ Quyên,,
382,101048,Bài Không Tên Số Chín,Lệ Quyên,,
383,101049,Bài Không Tên Số Năm,Lệ Quyên,,
384,101050,Bài Không Tên Số Sáu,Lệ Quyên,,
385,101051,Bài Luân Vũ Mùa Mưa,Elvis Phương & Thanh Lan,,
386,101052,Bài Ngợi Ca Quê Hương,Mạnh Hùng,,
387,101053,Bài Ngợi Ca Quê Hương,Phi Nhung,,
388,101056,Bài Nhã Ca Thứ Nhất,Phương Nghi,,
389,101057,Bài Nhạc Cuối Cho Chúng Mình,Khánh Ngọc & Nhật Tinh Anh,,
390,101063,Bài Tango Dĩ Vãng,Christiane Lê,,
391,101065,Bài Tango Xa Rồi,Hồ Vĩnh Khoa & Thu Thủy & Tim,,
392,101068,Bài Thánh Ca Buồn,Khang Lê,,
393,101070,Bài Thánh Ca Buồn,Đàm Vĩnh Hưng & Mỹ Tâm,,
394,101072,Bài Thơ Cuối Cùng,Họa Mi,,
395,101077,Bài Thơ Vu Quy,Ngọc Hồ,,
396,101078,Bài Thơ Đan Áo,Diệp Thanh Thanh,,
397,101081,Bài Tình Ca Cho Em,Duy Quang,,
398,101082,Bài Tình Ca Cho Em,Lâm Thúy Vân,,
399,101084,Bài Tình Ca Cho Giai Nhân,Quang Dũng,,
400,101085,Bài Tình Ca Cho Giai Nhân,Vũ Khanh,,
401,101088,Bài Tình Ca Của Em,Don Hồ,,
402,101090,Bài Tình Ca Không Quên,Minh Tuyết,,
403,101091,Bài Tình Ca Không Quên,Ngọc Bích,,
404,101092,Bài Tình Ca Mùa Đông,Lệ Thu & Dạ Nhất Yến,,
405,101094,Bài Tình Cho Giai Nhân,Vũ Khanh,,
406,101095,Bài Tình Mơ,Nhiều Ca Sỹ,,
407,101097,Bàn Tay,Lê Hằng,,
408,101099,Bác,Quách Thành Danh,,
409,101100,"Bác Hồ, Một Tình Yêu Bao La",Phạm Thùy Linh,,
410,101101,Bác Đang Cùng Chúng Cháu Hành Quân,Quân Khu 7,,
411,101104,Bánh Xe Lãng Tử,Christiane Lê,,
412,101110,Bâng Khuâng Chiều Đông,Thái Châu,,
413,101111,Bâng Khuâng Trường Sa,Go On,,
414,101113,Bây Giờ Còn Nhớ Hay Không,Diễm Liên & Nguyên Khang,,
415,101114,Bây Giờ Còn Yêu,Thanh Hà,,
416,101116,Bây Giờ Em Nỗi Đau,Johnny Dũng,,
417,101118,Bây Giờ Tháng Mấy,Thanh Thúy & Tô Chấn Phong,,
418,101119,Bây Giờ Tháng Mấy,Tuấn Anh,,
